f [Hz],Amplitud Entrada[Vrms],Amplitud Salida [Vrms],Ganancia [dB],DeltaT [ms],Fase [°],Cambios,Escala
400,"3,47","0,0940","-31,34","1,85000","266,40",Escala canal 2,100mV
500,"3,47","0,116","-29,52","1,49000","268,20",,
600,"3,54","0,137","-28,25","1,23000","265,68",,
700,"3,54","0,162","-26,79","1,06000","267,12",,
800,"3,48","0,186","-25,44","0,92000","264,96",,
900,"3,55","0,212","-24,48","0,81600","264,38",,
1000,"3,49","0,240","-23,25","0,73600","264,96",,
1200,"3,57","0,289","-21,84","0,61200","264,38",Cambio escala canal 2,200mV
1400,"3,56","0,344","-20,30","0,52400","264,10",,
1600,"3,57","0,397","-19,08","0,46000","264,96",,
1800,"3,56","0,459","-17,79","0,40400","261,79",,
2000,"3,50","0,527","-16,45","0,36400","262,08",,
2200,"3,52","0,595","-15,44","0,33000","261,36",Cambio escala canal 2,500mV
2400,"3,59","0,659","-14,72","0,30000","259,20",,
2600,"3,54","0,744","-13,55","0,27600","258,34",,
2800,"3,61","0,820","-12,87","0,25600","258,05",,
3000,"3,15","0,915","-10,74","0,23800","257,04",,
3250,"3,57","1,050","-10,63","0,21600","252,72",,
3500,"3,50","1,160","-9,59","0,19900","250,74",,
3750,"3,50","1,320","-8,47","0,18500","249,75",,
4000,"3,50","1,520","-7,24","0,17000","244,80",Cambio escala canal 2,1V
4250,"3,50","1,750","-6,02","0,15800","241,74",,
4500,"3,50","2,010","-4,82","0,14700","238,14",,
4750,"3,50","2,330","-3,53","0,13600","232,56",,
5000,"3,50","2,680","-2,32","0,12500","225,00",,
5250,"3,50","3,090","-1,08","0,11400","215,46",Cambio escala canal 2,2V
5500,"3,50","3,450","-0,12","0,10400","205,92",,
5750,"3,50","3,620","0,29","0,09300","192,51",,
6000,"3,50","3,800","0,71","0,08200","177,12",,
6250,"3,50","3,700","0,48","0,07440","167,40",,
6500,"3,50","3,470","-0,07","0,06600","154,44",,
6750,"3,50","3,180","-0,83","0,06040","146,77",,
7000,"3,50","2,890","-1,66","0,05480","138,10",,
7250,"3,50","2,630","-2,48","0,05080","132,59",,
7500,"3,50","2,400","-3,28","0,04760","128,52",,
7750,"3,50","2,190","-4,07","0,04480","124,99",,
8000,"3,50","2,010","-4,82","0,04200","120,96",,
8500,"3,50","1,730","-6,12","0,03820","116,89",Cambio escala canal 2,1V
9000,"3,50","1,510","-7,30","0,03500","113,40",,
9500,"3,50","1,340","-8,34","0,03240","110,81",Cambio escala canal 2,500mV
10000,"3,50","1,220","-9,15","0,03000","108,00",,
11000,"3,50","1,020","-10,71","0,02700","106,92",,
12000,"3,50","0,894","-11,85","0,02380","102,82",,
13000,"3,50","0,792","-12,91","0,02160","101,09",,
14000,"3,50","0,711","-13,84","0,02000","100,80",,
15000,"3,50","0,650","-14,62","0,01860","100,44",,
16000,"3,50","0,599","-15,33","0,01710","98,50",,
17000,"3,50","0,553","-16,03","0,01600","97,92",,
18000,"3,50","0,507","-16,78","0,01490","96,55",Cambio escala canal 2,200mV
19000,"3,50","0,475","-17,35","0,01410","96,44",,
20000,"3,48","0,447","-17,83","0,01330","95,76",,
25000,"3,48","0,347","-20,02","0,01050","94,50",,
30000,"3,48","0,283","-21,80","0,00860","92,88",,
35000,"3,47","0,240","-23,20","0,00732","92,23",Cambio escala canal 2,100mV
40000,"3,47","0,209","-24,40","0,00636","91,58",,
45000,"3,47","0,185","-25,46","0,00564","91,37",,
50000,"3,47","0,166","-26,40","0,00504","90,72",,
55000,"3,47","0,151","-27,23","0,00456","90,29",,
60000,"3,47","0,138","-28,01","0,00420","90,72",,
65000,"3,47","0,128","-28,66","0,00388","90,79",,
70000,"3,47","0,119","-29,30","0,00360","90,72",,
75000,"3,47","0,111","-29,90","0,00340","91,80",,
80000,"3,47","0,104","-30,47","0,00316","91,01",,
